customer_id,Recency,Frequency,Monetary,ComplaintCnt,Tenure,AvgOrder,Segment_D4,cluster,cluster_name,Churn,churn_probability,churn,risk_level
C0041,60,7,37614,0,2582,5373,G6 At Risk,3,流失高風險,0,0.0,0,Low
C0042,63,8,52003,0,1337,6500,G6 At Risk,3,流失高風險,0,0.0,0,Low
C0043,49,9,15886,0,1346,1765,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0044,3,10,21060,0,2738,2106,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0045,51,10,21122,0,597,2112,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0046,61,6,35682,2,1244,5947,G6 At Risk,3,流失高風險,0,0.0,0,Low
C0047,50,4,42391,1,1724,10598,G8 Lost,3,流失高風險,0,0.0,0,Low
C0048,13,6,26570,0,1059,4428,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0049,157,4,44967,0,967,11242,G8 Lost,3,流失高風險,0,0.2923,0,Low
C0050,7,12,16410,0,348,1368,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0051,16,9,45241,0,822,5027,G1 VIP(Champions),2,VIP 高頻高額,0,0.0273,0,Low
C0052,1,5,49566,0,1093,9913,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0053,8,7,39114,1,2517,5588,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0054,59,2,26740,1,1030,13370,G7 Hibernating,3,流失高風險,0,0.5553,1,Medium
C0055,180,1,40108,1,508,40108,G8 Lost,1,沉睡客戶,0,0.8706,1,High
C0056,25,7,13019,0,2544,1860,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0057,13,10,704903,0,1074,70490,G1 VIP(Champions),3,流失高風險,0,0.0,0,Low
C0058,18,5,30042,1,2762,6008,G5 Potential Loyalists,3,流失高風險,0,0.0,0,Low
C0059,16,5,9598,0,353,1920,G5 Potential Loyalists,0,穩定中段,0,0.0273,0,Low
C0060,6,7,33935,1,95,4848,G1 VIP(Champions),2,VIP 高頻高額,0,0.0273,0,Low
C0061,49,5,10156,1,2767,2031,G8 Lost,0,穩定中段,0,0.0,0,Low
C0062,62,8,18042,1,321,2255,G6 At Risk,0,穩定中段,0,0.0273,0,Low
C0063,68,13,25030,1,55,1925,G6 At Risk,2,VIP 高頻高額,0,0.0273,0,Low
C0064,173,5,14596,0,1940,2919,G8 Lost,1,沉睡客戶,0,0.8731,1,High
C0065,95,4,25791,2,972,6448,G7 Hibernating,3,流失高風險,0,0.4523,0,Medium
C0066,74,4,25504,0,1469,6376,G7 Hibernating,3,流失高風險,0,0.0,0,Low
C0067,186,0,13710,1,1242,0,G8 Lost,1,沉睡客戶,1,0.8706,1,High
C0068,27,6,36228,0,911,6038,G5 Potential Loyalists,3,流失高風險,0,0.0273,0,Low
C0069,2,10,14258,0,1459,1426,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0070,43,4,120763,0,801,30191,G3 Big Spenders,3,流失高風險,0,0.0273,0,Low
C0071,266,3,22547,0,697,7516,G8 Lost,1,沉睡客戶,0,0.8731,1,High
C0072,68,7,10722,1,697,1532,G6 At Risk,0,穩定中段,0,0.0273,0,Low
C0073,91,3,12222,2,381,4074,G7 Hibernating,0,穩定中段,1,0.5553,1,Medium
C0074,15,8,54356,1,1590,6794,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0075,2,7,18281,1,1659,2612,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0076,42,3,9371,0,81,3124,G8 Lost,0,穩定中段,0,0.0,0,Low
C0077,115,4,44249,0,1394,11062,G7 Hibernating,3,流失高風險,0,0.0,0,Low
C0078,37,4,18199,1,2224,4550,G8 Lost,0,穩定中段,0,0.0,0,Low
C0079,96,4,38461,1,33,9615,G7 Hibernating,3,流失高風險,0,0.0273,0,Low
C0080,34,6,46859,1,922,7810,G3 Big Spenders,3,流失高風險,0,0.0273,0,Low
C0081,59,7,29499,0,2884,4214,G6 At Risk,3,流失高風險,0,0.0,0,Low
C0082,13,10,130240,0,1297,13024,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0083,6,9,7279,0,79,809,G2 Loyal,0,穩定中段,0,0.0273,0,Low
C0084,6,7,13731,1,1595,1962,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0085,5,8,20350,0,1250,2544,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0086,2,4,118518,0,657,29630,G3 Big Spenders,3,流失高風險,0,0.0273,0,Low
C0087,77,1,85699,0,248,85699,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0088,20,10,59999,1,2654,6000,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0089,228,2,13962,2,2444,6981,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0090,42,5,15150,0,2055,3030,G8 Lost,0,穩定中段,0,0.0,0,Low
C0091,8,14,13630,1,82,974,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0092,86,5,14067,0,2614,2813,G6 At Risk,0,穩定中段,0,0.0,0,Low
C0093,58,7,69209,0,1435,9887,G6 At Risk,3,流失高風險,0,0.0,0,Low
C0094,15,7,20524,1,1442,2932,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0095,9,5,22515,1,2636,4503,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0096,24,6,41859,0,1314,6976,G5 Potential Loyalists,3,流失高風險,0,0.0,0,Low
C0097,14,10,7597,0,731,760,G2 Loyal,0,穩定中段,0,0.0273,0,Low
C0098,3,6,25257,1,734,4210,G5 Potential Loyalists,0,穩定中段,0,0.0273,0,Low
C0099,23,6,11296,1,2782,1883,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0100,101,1,19809,2,1648,19809,G7 Hibernating,0,穩定中段,1,0.5553,1,Medium
C0101,180,0,16147,1,1749,0,G8 Lost,1,沉睡客戶,0,0.8706,1,High
C0102,139,2,15575,2,1791,7788,G8 Lost,1,沉睡客戶,1,0.8762,1,High
C0103,92,3,28507,0,685,9502,G7 Hibernating,3,流失高風險,0,0.5553,1,Medium
C0104,50,6,28420,2,1277,4737,G8 Lost,3,流失高風險,0,0.0,0,Low
C0105,83,2,20871,1,2856,10436,G7 Hibernating,0,穩定中段,0,0.5553,1,Medium
C0106,33,2,31555,0,461,15778,G8 Lost,3,流失高風險,0,0.0,0,Low
C0107,336,0,13253,1,2855,0,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0108,17,8,39227,0,841,4903,G1 VIP(Champions),2,VIP 高頻高額,0,0.0273,0,Low
C0109,10,5,21071,0,908,4214,G5 Potential Loyalists,0,穩定中段,0,0.0273,0,Low
C0110,97,4,17352,0,72,4338,G7 Hibernating,0,穩定中段,0,0.0273,0,Low
C0111,6,14,13956,0,2001,997,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0112,8,10,20558,1,977,2056,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0113,14,11,90170,1,1394,8197,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0114,44,7,23288,1,1754,3327,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0115,19,9,10926,0,1913,1214,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0116,212,2,46313,1,2868,23156,G3 Big Spenders,1,沉睡客戶,1,0.9742,1,High
C0117,97,2,17495,1,1680,8748,G7 Hibernating,0,穩定中段,0,0.5553,1,Medium
C0118,69,7,29692,0,558,4242,G6 At Risk,3,流失高風險,0,0.0273,0,Low
C0119,53,4,15931,0,2119,3983,G8 Lost,0,穩定中段,0,0.0,0,Low
C0120,8,11,59667,0,194,5424,G1 VIP(Champions),2,VIP 高頻高額,0,0.0273,0,Low
C0121,229,3,16098,0,2535,5366,G8 Lost,1,沉睡客戶,0,0.8731,1,High
C0122,20,13,64764,0,910,4982,G1 VIP(Champions),2,VIP 高頻高額,0,0.0273,0,Low
C0123,6,11,11679,0,2175,1062,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0124,18,8,19830,1,495,2479,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0125,3,7,64861,0,1237,9266,G1 VIP(Champions),3,流失高風險,0,0.0,0,Low
C0126,41,2,27384,0,2095,13692,G8 Lost,3,流失高風險,0,0.0,0,Low
C0127,44,5,119375,0,1875,23875,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0128,13,6,20163,0,47,3360,G5 Potential Loyalists,0,穩定中段,0,0.0273,0,Low
C0129,2,17,29142,0,132,1714,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0130,123,1,92374,1,2943,92374,G3 Big Spenders,3,流失高風險,0,0.4403,0,Medium
C0131,36,7,8436,1,1600,1205,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0132,220,1,7735,1,2571,7735,G8 Lost,1,沉睡客戶,0,0.9742,1,High
C0133,16,7,13949,0,245,1993,G2 Loyal,0,穩定中段,0,0.0273,0,Low
C0134,75,2,43017,0,1487,21508,G7 Hibernating,3,流失高風險,0,0.0,0,Low
C0135,74,4,7888,0,1741,1972,G7 Hibernating,0,穩定中段,0,0.0,0,Low
C0136,4,6,36973,0,2765,6162,G5 Potential Loyalists,3,流失高風險,0,0.0,0,Low
C0137,244,1,35196,1,2140,35196,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0138,30,7,99715,2,1895,14245,G2 Loyal,3,流失高風險,0,0.0,0,Low
C0139,63,3,50607,0,901,16869,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0140,11,11,31409,0,2981,2855,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0141,44,4,63032,1,1003,15758,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0142,13,6,35498,0,856,5916,G5 Potential Loyalists,3,流失高風險,0,0.0273,0,Low
C0143,73,11,17640,1,2179,1604,G6 At Risk,2,VIP 高頻高額,0,0.0,0,Low
C0144,21,7,10925,0,2990,1561,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0145,35,3,16341,2,2574,5447,G8 Lost,0,穩定中段,0,0.0,0,Low
C0146,24,7,23670,0,565,3381,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0147,34,8,27516,0,2451,3440,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0148,21,4,5461,0,1079,1365,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0149,28,8,20875,0,689,2609,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0150,1,11,24835,0,2807,2258,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0151,71,5,35713,1,2850,7143,G6 At Risk,3,流失高風險,0,0.0,0,Low
C0152,113,2,76021,2,1130,38010,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0153,26,1,27721,0,107,27721,G4 New/Promising,3,流失高風險,0,0.0,0,Low
C0154,165,2,12878,1,653,6439,G8 Lost,1,沉睡客戶,0,0.8706,1,High
C0155,8,10,6818,0,1637,682,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0156,125,1,39376,1,206,39376,G8 Lost,3,流失高風險,0,0.4403,0,Medium
C0157,16,12,13248,0,704,1104,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0158,30,5,44658,0,472,8932,G8 Lost,3,流失高風險,0,0.0273,0,Low
C0159,110,2,64744,2,2857,32372,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0160,6,6,8260,0,1085,1377,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0161,9,11,35872,1,1158,3261,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0162,60,5,60164,1,1281,12033,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0163,44,3,49679,1,68,16560,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0164,13,8,5611,1,1641,701,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0165,20,4,13392,0,2740,3348,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0166,34,6,9936,0,2446,1656,G8 Lost,0,穩定中段,0,0.0,0,Low
C0167,85,2,35117,0,774,17558,G7 Hibernating,3,流失高風險,0,0.5553,1,Medium
C0168,299,0,32511,0,69,0,G8 Lost,1,沉睡客戶,0,0.8731,1,High
C0169,34,9,3683,2,2326,409,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0170,16,6,19721,2,2528,3287,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0171,14,9,42638,2,2767,4738,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0172,96,1,27000,0,1744,27000,G7 Hibernating,3,流失高風險,0,0.5553,1,Medium
C0173,230,2,26967,2,1436,13484,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0174,60,4,18854,0,2276,4714,G7 Hibernating,0,穩定中段,0,0.0,0,Low
C0175,14,9,11600,0,2080,1289,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0176,124,4,24054,0,2278,6014,G7 Hibernating,3,流失高風險,0,0.4785,0,Medium
C0177,51,6,25247,0,874,4208,G8 Lost,0,穩定中段,0,0.0273,0,Low
C0178,64,5,37447,0,2712,7489,G6 At Risk,3,流失高風險,0,0.0,0,Low
C0179,356,0,39638,2,140,0,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0180,53,4,25851,0,307,6463,G8 Lost,3,流失高風險,0,0.0273,0,Low
C0181,46,6,52388,0,1974,8731,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0182,49,6,18724,0,1727,3121,G8 Lost,0,穩定中段,0,0.0,0,Low
C0183,101,3,8859,1,1675,2953,G7 Hibernating,0,穩定中段,0,0.5553,1,Medium
C0184,127,1,33994,1,2729,33994,G8 Lost,3,流失高風險,0,0.4403,0,Medium
C0185,30,12,26595,0,2616,2216,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0186,4,6,34470,1,2166,5745,G5 Potential Loyalists,3,流失高風險,0,0.0,0,Low
C0187,63,3,10046,0,519,3349,G7 Hibernating,0,穩定中段,0,0.5553,1,Medium
C0188,38,5,85268,0,316,17054,G3 Big Spenders,3,流失高風險,0,0.0273,0,Low
C0189,110,1,40029,1,445,40029,G7 Hibernating,3,流失高風險,0,0.0,0,Low
C0190,320,1,19899,4,1853,19899,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0191,6,9,12647,1,2147,1405,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0192,47,5,51741,1,2405,10348,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0193,26,6,11257,0,336,1876,G5 Potential Loyalists,0,穩定中段,0,0.0273,0,Low
C0194,5,15,118534,1,846,7902,G1 VIP(Champions),2,VIP 高頻高額,0,0.0273,0,Low
C0195,12,11,15847,0,1033,1441,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0196,156,2,81174,0,1908,40587,G3 Big Spenders,3,流失高風險,0,0.2923,0,Low
C0197,18,9,21394,0,168,2377,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0198,12,9,73609,0,2526,8179,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0199,20,6,14554,0,269,2426,G5 Potential Loyalists,0,穩定中段,0,0.0273,0,Low
C0200,93,3,24666,0,1585,8222,G7 Hibernating,3,流失高風險,0,0.5553,1,Medium
C0201,49,1,42759,0,2800,42759,G8 Lost,3,流失高風險,0,0.0,0,Low
C0202,9,7,38695,0,606,5528,G1 VIP(Champions),2,VIP 高頻高額,0,0.0273,0,Low
C0203,0,9,52603,0,2071,5845,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0204,297,2,17305,2,1662,8652,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0205,7,8,25832,0,2465,3229,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0206,93,1,58330,0,1776,58330,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0207,5,4,14858,0,2549,3714,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0208,31,8,36344,0,1226,4543,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0209,46,9,20881,1,516,2320,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0210,129,4,28117,0,2048,7029,G8 Lost,3,流失高風險,0,0.4785,0,Medium
C0211,333,0,25827,1,2903,0,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0212,342,0,14019,3,1316,0,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0213,203,1,20283,2,2465,20283,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0214,78,4,26942,1,2635,6736,G7 Hibernating,3,流失高風險,0,0.0,0,Low
C0215,270,2,22654,0,1947,11327,G8 Lost,1,沉睡客戶,1,0.8731,1,High
C0216,269,0,73197,1,2381,0,G3 Big Spenders,1,沉睡客戶,1,0.9742,1,High
C0217,11,8,49364,0,1702,6170,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0218,47,7,29822,1,2420,4260,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0219,29,5,14268,0,1028,2854,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0220,39,5,13673,1,1592,2735,G8 Lost,0,穩定中段,0,0.0,0,Low
C0221,58,4,96923,1,261,24231,G3 Big Spenders,3,流失高風險,0,0.0273,0,Low
C0222,52,6,12005,0,613,2001,G8 Lost,0,穩定中段,0,0.0273,0,Low
C0223,47,8,26363,0,1749,3295,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0224,63,6,31340,2,2181,5223,G6 At Risk,3,流失高風險,0,0.0,0,Low
C0225,2,3,19576,0,118,6525,G4 New/Promising,0,穩定中段,0,0.0,0,Low
C0226,68,3,12070,0,234,4023,G7 Hibernating,0,穩定中段,0,0.5553,1,Medium
C0227,59,9,14053,2,48,1561,G6 At Risk,0,穩定中段,0,0.0,0,Low
C0228,20,4,16605,1,1567,4151,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0229,11,7,14814,0,1025,2116,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0230,32,11,61661,0,187,5606,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0231,91,5,24188,0,2387,4838,G6 At Risk,3,流失高風險,0,0.0,0,Low
C0232,15,12,16871,0,1599,1406,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0233,64,2,26236,0,59,13118,G7 Hibernating,3,流失高風險,0,0.5553,1,Medium
C0234,134,1,38854,2,2067,38854,G8 Lost,3,流失高風險,0,0.4403,0,Medium
C0235,18,8,19125,0,2736,2391,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0236,194,1,45770,1,1275,45770,G8 Lost,1,沉睡客戶,0,0.8706,1,High
C0237,185,2,9999,2,2850,5000,G8 Lost,1,沉睡客戶,1,0.8706,1,High
C0238,2,6,55266,1,1268,9211,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0239,84,4,24191,0,259,6048,G7 Hibernating,3,流失高風險,0,0.0273,0,Low
C0240,29,7,23538,0,394,3363,G2 Loyal,2,VIP 高頻高額,0,0.0273,0,Low
C0241,27,7,14986,2,228,2141,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0242,88,4,10306,0,926,2576,G7 Hibernating,0,穩定中段,0,0.0273,0,Low
C0243,111,4,7580,0,1172,1895,G7 Hibernating,0,穩定中段,0,0.0,0,Low
C0244,37,8,14272,1,1349,1784,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0245,95,4,36731,0,1457,9183,G7 Hibernating,3,流失高風險,0,0.0,0,Low
C0246,45,4,12421,0,2594,3105,G8 Lost,0,穩定中段,0,0.0,0,Low
C0247,23,10,8234,0,64,823,G2 Loyal,0,穩定中段,0,0.0273,0,Low
C0248,11,11,12883,0,2697,1171,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0249,62,5,18594,0,739,3719,G6 At Risk,0,穩定中段,0,0.0273,0,Low
C0250,174,1,19113,0,2862,19113,G8 Lost,1,沉睡客戶,0,0.8731,1,High
C0251,120,7,22243,1,431,3178,G6 At Risk,0,穩定中段,0,0.8762,1,High
C0252,14,8,50153,0,327,6269,G1 VIP(Champions),2,VIP 高頻高額,0,0.0273,0,Low
C0253,46,4,58365,0,390,14591,G3 Big Spenders,3,流失高風險,0,0.0273,0,Low
C0254,148,1,99094,0,909,99094,G3 Big Spenders,3,流失高風險,0,0.0,0,Low
C0255,77,2,7805,0,2826,3902,G7 Hibernating,0,穩定中段,0,0.5553,1,Medium
C0256,10,8,13372,0,1404,1672,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0257,282,3,39693,1,520,13231,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0258,16,7,17715,0,1935,2531,G2 Loyal,0,穩定中段,0,0.0,0,Low
C0259,3,6,44469,0,1538,7412,G5 Potential Loyalists,3,流失高風險,0,0.0,0,Low
C0260,21,7,28141,0,2117,4020,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0261,22,9,73530,0,2232,8170,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0262,5,14,50509,1,2364,3608,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0263,139,0,51160,1,479,0,G3 Big Spenders,3,流失高風險,0,0.8762,1,High
C0264,14,9,18246,2,1502,2027,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0265,54,5,22738,0,1903,4548,G8 Lost,0,穩定中段,0,0.0,0,Low
C0266,9,9,19660,0,1683,2184,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0267,23,4,8483,0,2918,2121,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0268,4,9,68203,0,2882,7578,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0269,5,9,41018,1,2441,4558,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0270,1,10,19120,2,742,1912,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0271,73,8,60671,1,1600,7584,G6 At Risk,3,流失高風險,0,0.0,0,Low
C0272,16,5,15658,1,2417,3132,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0273,311,1,6723,0,826,6723,G8 Lost,1,沉睡客戶,1,0.8731,1,High
C0274,39,8,49274,0,2144,6159,G2 Loyal,2,VIP 高頻高額,0,0.0,0,Low
C0275,8,8,9947,0,770,1243,G2 Loyal,0,穩定中段,0,0.0273,0,Low
C0276,132,3,21225,2,446,7075,G8 Lost,1,沉睡客戶,0,0.8762,1,High
C0277,25,5,28121,0,742,5624,G5 Potential Loyalists,3,流失高風險,0,0.0273,0,Low
C0278,3,13,31883,0,2781,2453,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0279,5,3,44085,0,2986,14695,G5 Potential Loyalists,3,流失高風險,0,0.0,0,Low
C0280,22,10,36556,1,2570,3656,G1 VIP(Champions),2,VIP 高頻高額,0,0.0,0,Low
C0281,6,7,35772,0,835,5110,G1 VIP(Champions),2,VIP 高頻高額,0,0.0273,0,Low
C0282,15,2,13995,0,2345,6998,G5 Potential Loyalists,0,穩定中段,0,0.0,0,Low
C0283,306,1,29911,1,678,29911,G8 Lost,1,沉睡客戶,1,0.9742,1,High
C0284,197,2,8486,3,406,4243,G8 Lost,1,沉睡客戶,1,0.8706,1,High
C0285,16,6,72656,0,798,12109,G3 Big Spenders,3,流失高風險,0,0.0273,0,Low
C0286,71,7,9120,2,444,1303,G6 At Risk,0,穩定中段,0,0.0,0,Low
C0287,3,7,19101,0,1932,2729,G2 Loyal,0,穩定中段,0,0.0,0,Low
